Multiplicity type,Bacterial species,Bacterial strain,Phage species,Phage train,Microbial abundance per ml,Phage abundance,MOI,COI,Percent Lytic,Percent Lysogeny,Percent refractory,Percent Lethal,Percent lytic/Percent infected,Percent lysogenic/Percent infected
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,300000000,0.6,30,23,23,54,0,0.5,0.5
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,600000000,1.2,60,31,29,35,5,0.48,0.45
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,1200000000,2.4,120,34,51,13,2,0.39,0.59
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,2400000000,4.8,240,33,55,7,5,0.35,0.59
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,4800000000,9.6,480,12,30,1,57,0.12,0.3
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,350000000,0.7,35,7,3,49,41,0.14,0.06
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,1050000000,2.1,105,17,5,36,42,0.27,0.08
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,3150000000,6.3,315,30,30,5,35,0.32,0.32
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,9450000000,18.9,945,9,24,2,65,0.09,0.24
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,28350000000,56.7,2835,20,25,<1,55,0.2,0.25
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,150000000,0.3,15,23,4,73,0,0.85,0.15
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,450000000,0.9,45,29,4,39,28,0.47,0.06
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,1350000000,2.7,135,57,20,15,8,0.67,0.23
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,4050000000,8.1,405,27,37,12,24,0.31,0.42
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,12150000000,24.3,1215,24,50,5,21,0.25,0.53
Absorption,E. coli,K112,Lambda,Lambda 22,500000000,36000000000,72,3600,33,45,11,12,0.37,0.5
Exposure,E. coli,C600,Lambda,Lambda cI857,300000000,15000000,0.05,1.5,,0.10452755,,,,
Exposure,E. coli,C601,Lambda,Lambda cI857,300000000,30000000,0.1,3,,0.289426612,,,,
Exposure,E. coli,C602,Lambda,Lambda cI857,300000000,75000000,0.25,7.5,,0.888623816,,,,
Exposure,E. coli,C603,Lambda,Lambda cI857,300000000,150000000,0.5,15,,4.064193332,,,,
Exposure,E. coli,C604,Lambda,Lambda cI857,300000000,300000000,1,30,,9.566855862,,,,
Exposure,E. coli,C605,Lambda,Lambda cI857,300000000,675000000,2.25,67.5,,33.54602186,,,,
Exposure,E. coli,C606,Lambda,Lambda cI857,300000000,1500000000,5,150,,51.46813857,,,,
Exposure,E. coli,C607,Lambda,Lambda cI857,300000000,3000000000,10,300,,36.11538989,,,,
Exposure,E. coli,C608,Lambda,Lambda cI857,300000000,7500000000,25,750,,20.91764656,,,,